episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,12.23843275187667,3.837173557439021,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,0.0,0.0,0.18,0.0,,,
2,16,10.979473306909865,10.727491863313244,-0.8399381453220762,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,0.0,0.0,0.18,0.0,,,
3,24,11.248708028760058,12.082333567633317,2.7787517962441903,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,0.0,0.0,0.18,0.0,,,
4,32,10.953353952975935,10.283786750297859,-2.2318906755935775,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,0.0,0.0,0.18,0.0,8.28731556227309,7.391007894448529,-2.987692226081866
5,40,10.941574355542189,10.9174687504788,-0.08035201687795457,10.951705623072638,11.021926372420143,11.021926372420143,,,,,,,0.0,0.0,0.18,0.0,,,
6,48,5.606150526833393,3.8295689235964803,-5.921938677456375,5.6410050820112305,11.528089204289769,11.528089204289769,,,,,,,0.0,0.0,0.18,0.0,,,
7,56,4.703462450698497,2.6610262284439483,-6.8081207408484925,4.741783444929363,11.51158319154699,11.51158319154699,,,,,,,0.0,0.0,0.18,0.0,,,
8,64,11.300948832345892,10.97556621934983,-1.0846087099868793,11.30359912680709,12.385557542332771,12.385557542332771,-3.4175050258636475,320.1501159667969,-260.6201171875,0.04998500645160675,0.06764824688434601,-66.99713134765625,0.0,0.0,0.18,0.0,11.213196817018106,10.974557380913364,-0.7954647870158018
9,72,11.122195707918314,10.479982510700982,-2.1407106573910966,11.119222703368518,13.26290636530941,13.26290636530941,-3.8018131256103516,310.8221206665039,-261.3222427368164,0.04991758847609162,0.4467450585216284,-67.1921615600586,0.0,0.01025390625,0.19794921875000002,0.00986328125,,,
10,80,11.302391776102983,11.466784256106353,0.5479749333445767,11.300479510470948,10.754416842758406,10.754416842758406,-4.574196457862854,312.7315788269043,-263.11938095092773,0.049797833897173405,1.2007994577288628,-67.72154426574707,0.125,0.03369140625,0.16884765625,0.00833984375,,,
11,88,10.759912032953002,10.031720063296284,-2.4273065655223913,10.76194512950725,13.187218598475393,13.187218598475393,-5.660502195358276,302.5994987487793,-263.44154357910156,0.049678271636366844,2.293356791138649,-67.75864601135254,0.0,0.05712890625,0.18857421875000002,0.009238281249999999,,,
12,96,4.72459948673342,2.7696268627374963,-6.516575413319749,4.717650770311104,11.241174900053169,11.241174900053169,-7.367779433727264,263.2790946960449,-262.5380630493164,0.04955903114750981,4.027094841003418,-67.38776302337646,0.375,0.08056640625,0.1148193359375,0.0055712890625,11.004144259414474,10.418542063354735,-1.9520073201991313
13,104,10.894577423200516,10.304814039914792,-1.9658779442857508,10.914924120981635,12.860455367486267,12.860455367486267,-10.7968829870224,213.18955612182617,-255.34494972229004,0.049440457951277494,7.585908949375153,-64.92596483230591,0.0,0.10400390625,0.17919921875,0.00861328125,,,
14,112,11.144263562511915,10.571988293743203,-1.9075842292290304,11.081237686939467,13.051847791740945,13.051847791740945,-20.08475637435913,134.07603454589844,-225.67833137512207,0.049324422143399715,17.370903968811035,-55.00108337402344,0.375,0.12744140625,0.10888671875000001,0.00517578125,,,
15,120,11.258790026678088,12.980435158408437,5.738817105767832,11.283256496634747,5.519972920910257,5.519972920910257,-32.141488552093506,104.37183380126953,-92.39019799232483,0.04921977315098047,31.61478877067566,-10.686050921678543,0.0,0.15087890625,0.16982421875,0.00798828125,,,
16,128,10.765894535357457,11.054482836079666,0.9619610024073602,10.766627166272126,9.803933532950097,9.803933532950097,-21.570284843444824,65.85107374191284,196.72110652923584,0.04916446516290307,25.76397705078125,85.29944610595703,0.0,0.17431640625,0.16513671875000002,0.00767578125,8.436017704923161,7.329828006007675,-3.6872989963849547
17,136,5.606821329308863,3.919899119861832,-5.623074031490104,5.6268397719014045,11.229895360798967,11.229895360798967,-8.129238545894623,32.188913345336914,230.2255096435547,0.049198274966329336,12.87253224849701,96.4327974319458,0.5,0.19775390625,0.0804443359375,0.0036962890625,,,
18,144,11.310051617693993,10.798045690457013,-1.7066864241232729,11.30219565143326,13.016738041817266,13.016738041817266,-7.719461739063263,55.5792031288147,38.232544630765915,0.049266145564615726,9.329742789268494,32.69685113430023,0.125,0.22119140625,0.1365478515625,0.0061865234375,,,
19,152,4.815615259932468,2.7257344378399915,-6.966269406974925,4.648502654770328,11.781884666907393,11.781884666907393,-13.800898551940918,66.44578313827515,-104.04553365707397,0.04929950227960944,13.082663297653198,-14.568420574069023,0.25,0.24462890625,0.113525390625,0.0050683593749999995,,,
20,160,4.85655562625175,2.7814292236209153,-6.91708800876945,4.686238886648063,11.7736436350212,11.7736436350212,-20.5721697807312,49.136462688446045,-156.68904495239258,0.0492791710421443,18.992464780807495,-32.053398847579956,0.25,0.26806640625,0.11015625,0.00484375,11.090324078672992,10.436215968513991,-2.1803603671966725
21,168,11.095953612759784,10.483645952349702,-2.041025534700271,11.100854530759465,13.136979147460055,13.136979147460055,-21.138059377670288,38.37566947937012,-170.15068817138672,0.049219951033592224,19.340994834899902,-36.50446033477783,0.25,0.29150390625,0.1061279296875,0.0045751953125000005,,,
22,176,11.109616661024672,10.421184736048293,-2.2947730832546025,11.064879606584622,13.404389744279275,13.404389744279275,-20.559590339660645,28.630702257156372,-175.36423873901367,0.049139424692839384,18.681841611862183,-38.20479869842529,0.375,0.31494140625,0.086181640625,0.003662109375,,,
23,184,5.634188985182673,3.9252003742450774,-5.696628703125313,5.642379939993957,11.330817688307986,11.330817688307986,-22.027048349380493,29.069772243499756,-184.8914852142334,0.04904693644493818,19.999486446380615,-41.32926416397095,0.25,0.33837890625,0.099609375,0.004140625,,,
24,192,10.873393584614716,11.037725948783187,0.5477745472282383,10.793804352739594,10.325619037386478,10.325619037386478,-23.18290114402771,35.345760107040405,-191.2246551513672,0.048946430906653404,21.058695077896118,-43.38727283477783,0.5,0.36181640625,0.064111328125,0.002607421875,11.282952023482224,11.940532698693074,2.1919355840361656
25,200,11.287076598324294,11.178888706248859,-0.3606263069181175,11.294276457289692,11.647702905242411,11.647702905242411,-23.387285709381104,29.223628520965576,-192.24343299865723,0.048840714152902365,21.25333333015442,-43.679726123809814,0.375,0.38525390625,0.0767333984375,0.0030322265624999995,,,
26,208,11.292850441425617,12.72040658175839,4.758520467775912,11.285121235303174,6.534329973649705,6.534329973649705,-24.099319458007812,29.79832148551941,-187.21343612670898,0.04873282369226217,22.053495407104492,-41.96827745437622,0.25,0.40869140625,0.08891601562500001,0.003427734375,,,
27,216,5.802529670369132,4.122354060777667,-5.600585365304881,5.64728386709651,11.403115035674013,11.403115035674013,-25.020301818847656,29.96764087677002,-180.23716163635254,0.04862568574026227,23.093438148498535,-39.615482330322266,0.625,0.43212890625,0.042919921874999996,0.0016113281250000003,,,
28,224,11.159460788239,11.615949893391194,1.5216303505073245,11.15938845549729,9.637830437731676,9.637830437731676,-24.58735990524292,37.130258321762085,-166.57695198059082,0.04852116387337446,22.885812282562256,-35.058090686798096,0.375,0.45556640625,0.0675048828125,0.0024169921875,7.5700777813442475,6.525245458415527,-3.4827744097624005
29,232,4.097048638266373,1.8551013432391286,-7.473157650090816,4.731744702319002,11.57020628835719,11.57020628835719,-23.894851684570312,35.691970109939575,-157.51418113708496,0.0484214941971004,22.343673944473267,-32.02678608894348,0.5,0.47900390625,0.0521728515625,0.0018115234375,,,
30,240,11.075225633299075,11.237143895131968,0.5397275394429695,11.06240229973474,10.535498093856106,10.535498093856106,-23.9595148563385,32.50622510910034,-157.00695419311523,0.048326035495847464,22.421178579330444,-31.82516837120056,0.625,0.50244140625,0.0374267578125,0.0012451171875000001,,,
31,248,10.758638460360787,10.202737514989757,-1.8530031512367628,10.7735957478949,12.61164161159755,12.61164161159755,-24.415961980819702,36.62316536903381,-162.34707832336426,0.048231635708361864,22.797243118286133,-33.553385734558105,0.75,0.52587890625,0.023852539062499997,0.0007568359375,,,
32,256,5.73043658353786,4.071373066371571,-5.530211723887631,5.6554055245869055,11.260648307425491,11.260648307425491,-24.540108680725098,39.33067464828491,-167.5620403289795,0.04813584825024009,22.84350848197937,-35.23752403259277,0.75,0.54931640625,0.022534179687499996,0.0006689453124999999,8.001427345904354,6.7193226816208345,-4.273682214278395
33,264,4.809169311166794,2.728987854132801,-6.933938190113308,4.819957514834821,11.743107501280102,11.743107501280102,-24.642974615097046,41.69654989242554,-175.80029487609863,0.04803736973553896,22.821210384368896,-37.914363384246826,0.5,0.57275390625,0.0422119140625,0.0011474609375000003,,,
34,272,11.163466608725193,10.67037310561713,-1.6436450103602045,11.155247223034015,12.807111619085397,12.807111619085397,-24.096595525741577,42.415034770965576,-182.41181564331055,0.047935163136571646,22.17626690864563,-40.0504789352417,0.75,0.59619140625,0.020263671875,0.000517578125,,,
35,280,11.289680926736615,10.776966977461822,-1.7090464975826407,11.287585137765394,12.998727424319256,12.998727424319256,-24.807143449783325,44.93245315551758,-187.3242015838623,0.04782944265753031,22.815819025039673,-41.62292814254761,0.5,0.61962890625,0.0381103515625,0.0008740234375,,,
36,288,4.5453164317249355,2.372041540048035,-7.244249638923004,4.8126022570190505,11.78956607064794,11.78956607064794,-26.488296031951904,43.46506452560425,-193.92347717285156,0.04772043041884899,24.400124549865723,-43.74627876281738,0.5,0.64306640625,0.035986328124999994,0.000732421875,4.593023066818592,2.4559247406761475,-7.123661087141482
37,296,4.698979639572882,2.578947024756918,-7.066775382719881,4.722914803920846,11.765755022292764,11.765755022292764,-26.38243317604065,55.161874771118164,-192.11663627624512,0.047608536668121815,24.329697847366333,-43.10400104522705,0.375,0.66650390625,0.04128417968749999,0.0006689453124999998,,,
38,304,4.580602798371316,2.454499652194495,-7.087010487256069,4.775446019392383,11.667613285627384,11.667613285627384,-24.663642644882202,54.714486598968506,-190.1516456604004,0.047496307641267776,22.648738145828247,-42.41004037857056,0.625,0.68994140625,0.023217773437499995,0.00029785156250000016,,,
39,312,10.755182150396259,11.603257376977023,2.826917421935889,10.778262385135772,7.92826472846037,7.92826472846037,-24.33523416519165,50.425275802612305,-191.34056091308594,0.04738451633602381,22.308890342712402,-42.751649379730225,0.625,0.71337890625,0.021533203124999997,0.00018554687499999995,,,
40,320,11.06101674591453,10.363310780741005,-2.3256865505784123,11.06297299712997,13.386703296492943,13.386703296492943,-25.946492910385132,53.27735996246338,-197.65661811828613,0.04727220209315419,23.829376697540283,-44.77271604537964,0.75,0.73681640625,0.013232421874999997,4.882812500000004e-05,10.943048260587016,11.02910287240357,0.2868487060551823
41,328,11.096072168696065,11.506952777881294,1.369602030617429,11.074411881425767,9.726470138078636,9.726470138078636,-26.690675497055054,56.83225727081299,-199.1761131286621,0.04715835861861706,24.557567596435547,-45.219318866729736,0.875,0.75,0.006249999999999999,0.0,,,
42,336,10.792492054584931,10.5544609796649,-0.7934369164001023,10.771865134126127,11.585928970985034,11.585928970985034,-28.18575429916382,49.38460636138916,-199.1863136291504,0.04704362619668245,26.060103178024292,-45.17079734802246,0.875,0.75,0.006249999999999999,0.0,,,
43,344,10.94856077798378,10.375635530952795,-1.909750823436605,10.976685676326094,12.858311601420384,12.858311601420384,-29.674876928329468,56.537010192871094,-195.6510009765625,0.046928889118134975,27.611076593399048,-43.9631609916687,0.75,0.75,0.012499999999999997,0.0,,,
44,352,5.248161489821184,3.3536345039151083,-6.31508995302025,4.784025111626667,11.563251442841434,11.563251442841434,-29.70253324508667,57.23402976989746,-182.63042449951172,0.04681639838963747,27.84523844718933,-39.65946102142334,0.75,0.75,0.012499999999999997,0.0,11.048191173990084,10.880401726534988,-0.5592981581836556
45,360,11.12340441763484,10.428741804565796,-2.315542043563479,11.103912329020147,13.438946461198318,13.438946461198318,-29.690841674804688,66.860511302948,-164.84274101257324,0.04670917708426714,28.111191034317017,-33.808345794677734,1.0,0.75,0.0,0.0,,,
46,368,10.960225030319661,11.315482878470812,1.1841928271705022,10.859929185071461,9.776032203149159,9.776032203149159,-29.001272201538086,57.42048120498657,-153.11194038391113,0.046609321143478155,27.605209827423096,-29.94387650489807,0.625,0.75,0.018749999999999996,0.0,,,
47,376,11.303878107213164,11.245564634767748,-0.19437824148473126,11.286438324379562,11.498256348697895,11.498256348697895,-28.770480394363403,70.60446357727051,-146.4188232421875,0.046516192611306906,27.48029065132141,-27.72915816307068,0.75,0.75,0.012499999999999997,0.0,,,
48,384,10.953642428364068,10.270185266913966,-2.2781905381670082,10.867459142485876,13.231832966531076,13.231832966531076,-30.525851726531982,67.01570987701416,-145.49850273132324,0.04642754606902599,29.253461837768555,-27.39942502975464,0.875,0.75,0.006249999999999999,0.0,10.932001186835436,10.280949014000848,-2.1701739094486188
