episode,global_step,avg_reward,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob
1,8,11.089949702796309,,,,,,
2,16,10.983156184315467,,,,,,
3,24,11.239357552646553,,,,,,
4,32,10.95460780587262,,,,,,
5,40,10.977274086664021,,,,,,
6,48,5.634298390639621,,,,,,
7,56,4.840548925704427,,,,,,
8,64,11.303809065226702,-13.593097686767578,907.8096923828125,-269.5921325683594,0.19993998110294342,0.0916961282491684,-67.50700378417969
9,72,11.10707703575429,-13.923972606658936,927.130744934082,-269.2773895263672,0.1996703315526247,0.5079060904681683,-67.1711196899414
10,80,11.305334992754293,-14.847285270690918,855.4983139038086,-270.30228424072266,0.1991916038095951,1.3863461539149284,-67.55772113800049
11,88,10.748893850555442,-16.078076124191284,793.5835494995117,-271.50542068481445,0.19871375150978565,2.5508919954299927,-68.0533800125122
12,96,4.759445677086825,-17.734039545059204,641.5960998535156,-272.0540084838867,0.19823665916919708,4.221570998430252,-68.14284133911133
