episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,17.964891782489072,17.883808542227992,-0.16216648052214921,0.16216648052214921,0,17.96483722838694,18.12705826301122,18.12705826301122,1,los,0.0,0.0,0.0,0.16216648052214921,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,17.964891782489072,17.883808542227992,-0.16216648052214921,0.16216648052214921,0,17.96483722838694,18.12705826301122,18.12705826301122,1,los,0.0,0.0,0.0,0.16216648052214921,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,14.019233582733843,14.407094311299911,1.93930364283033
3,24,17.22071963968624,17.22071963968624,0.0,-0.0,0,17.22071937122841,17.22071963968624,17.22071963968624,3,los,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,17.22071963968624,17.22071963968624,0.0,-0.0,0,17.22071937122841,17.22071963968624,17.22071963968624,3,los,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.031339265935005,11.584466603130204,2.765636685975993
5,40,10.815988219469993,11.591357815339835,3.8768479793492077,0.0,0,10.81710585356518,6.939140240120786,6.939140240120786,1,nlos,0.0,0.0,0.0,0.10811098701476614,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,10.815988219469993,11.591357815339835,3.8768479793492077,0.0,0,10.81710585356518,6.939140240120786,6.939140240120786,1,nlos,0.0,0.0,0.0,0.08108324026107461,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,15.050430917310395,15.215697525939529,0.8263330431456613
7,56,11.244837049858308,11.575351475870523,1.6525721300610705,0.0,0,11.248016553492745,9.592264919797238,9.592264919797238,3,nlos,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,11.244837049858308,11.575351475870523,1.6525721300610705,0.0,0,11.248016553492745,9.592264919797238,9.592264919797238,3,nlos,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,18.698920415275033,18.698920415275033,-1.7763568394002505e-15
9,72,18.855930828532227,18.855930828532227,-3.552713678800501e-15,3.552713678800501e-15,0,18.85593082853223,18.85593082853223,18.85593082853223,0,los,0.0,0.0,0.0,3.552713678800501e-15,-5.2728928327560425,532.7357330322266,-260.7518081665039,0.049970002844929695,1.923018217086792,-67.02792358398438,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2.0,0.0,0.0,2,0.0,,,
10,80,18.855930828532227,18.855930828532227,-3.552713678800501e-15,3.552713678800501e-15,0,18.85593082853223,18.85593082853223,18.85593082853223,0,los,0.0,0.0,0.0,3.552713678800501e-15,-10.08008074760437,322.26971435546875,-262.2129592895508,0.04991002194583416,6.7116159200668335,-67.48062133789062,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2.0,0.0,0.0,2,1.0,14.709622407791151,14.10463114772621,-1.209982520129886
11,88,18.54191000201784,18.54191000201784,0.0,-0.0,0,18.541911700331156,18.54191000201784,18.54191000201784,0,los,0.0,0.0,0.0,2.3684757858670005e-15,-19.09584617614746,80.29126262664795,-260.49884033203125,0.049850136041641235,15.761667251586914,-66.87396812438965,0.5,0.125,0.06474609375,0.147685546875,0.008095703125,2.0,0.0,0.0,2,0.0,,,
12,96,18.54191000201784,18.54191000201784,0.0,-0.0,0,18.541911700331156,18.54191000201784,18.54191000201784,0,los,0.0,0.0,0.0,1.7763568394002505e-15,-25.82230567932129,49.806851625442505,-248.50458145141602,0.04979046434164047,22.692925453186035,-62.84105205535889,0.5,0.0,0.09130859375,0.16388671875,0.00892578125,2.0,0.0,0.0,2,1.0,10.842169490388361,10.390122941327107,-0.4123428561534963
