episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,10.947861548040056,13.185244628569512,13.185244628569512,,377.1889953613281,,0.05000000074505806,,,0.0,0.0,0.0,0.18,0.0,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.94964416582892,10.913503062533307,-0.07228220659122364,0.07228220659122364,10.951705623072638,11.021926372420143,11.021926372420143,-3.7664133310317993,366.5991401672363,-261.51397705078125,0.049962522462010384,0.4038100391626358,-67.28238487243652,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2,0.0,,,
10,80,10.947274559055021,10.909948652372462,-0.07465181336512217,0.07465181336512217,10.951705623072638,11.021926372420143,11.021926372420143,-4.510360240936279,354.4174346923828,-261.2408218383789,0.04990259371697903,1.158078745007515,-67.15632820129395,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2,1.0,,,
